route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,type
S7,Arbon,Rorschach,night,Arbon → Rorschach,CH,CH,6.5,night
B,Massy Palaiseau,Arcueil Cachan,night,Massy Palaiseau → Arcueil Cachan,FR,FR,9.59,night
B,Arcueil Cachan,Robinson,night,Arcueil Cachan → Robinson,FR,FR,3.99,night
J,Argenteuil,Boissy L Aillerie,night,Argenteuil → Boissy L Aillerie,FR,FR,22.2,night
J,Conflans Sainte Honorine,Argenteuil,night,Conflans Sainte Honorine → Argenteuil,FR,FR,12.88,night
J,Argenteuil,Gare Saint Lazare,night,Argenteuil → Saint Lazare,FR,FR,9.12,night
J,Pontoise,Argenteuil,night,Pontoise → Argenteuil,FR,FR,16.22,night
TER,Arles,Valence,night,Arles → Valence,CH,CH,139.73,night
R,Arosa,Chur,night,Arosa → Chur,CH,CH,13.8,night
CC,Arth Goldau Rb,Rigi Kulm,night,Arth Goldau Rb → Rigi Kulm,CH,CH,4.79,night
S2,Arth Goldau,Baar Lindenpark,night,Arth Goldau → Baar Lindenpark,CH,CH,15.11,night
IC21,Basel Sbb,Arth Goldau,night,Basel Sbb → Arth Goldau,CH,CH,91.16,night
IR46,Arth Goldau,Bellinzona,night,Arth Goldau → Bellinzona,CH,CH,101.75,night
S31,Biberbrugg,Arth Goldau,night,Biberbrugg → Arth Goldau,CH,CH,17.73,night
S3,Brunnen,Arth Goldau,night,Brunnen → Arth Goldau,CH,CH,7.2,night
S2,Arth Goldau,Erstfeld,night,Arth Goldau → Erstfeld,CH,CH,26.56,night
IR46,Goschenen,Arth Goldau,night,Goschenen → Arth Goldau,CH,CH,42.72,night
RE,Arth Goldau,Lenzburg,night,Arth Goldau → Lenzburg,CH,CH,47.61,night
IR46,Arth Goldau,Locarno,night,Arth Goldau → Locarno,CH,CH,99.36,night
PE,Arth Goldau,Lugano,night,Arth Goldau → Lugano,CH,CH,119.96,night
S3,Arth Goldau,Luzern,night,Arth Goldau → Luzern,CH,CH,18.13,night
IR26,Olten,Arth Goldau,night,Olten → Arth Goldau,CH,CH,59.03,night
IR,Pfaffikon Sz,Arth Goldau,night,Pfaffikon Sz → Arth Goldau,CH,CH,24.34,night
IR,Arth Goldau,Rapperswil Sg,night,Arth Goldau → Rapperswil Sg,CH,CH,28.13,night
IR,St Gallen,Arth Goldau,night,St Gallen → Arth Goldau,CH,CH,74.62,night
IR,Arth Goldau,Uznach,night,Arth Goldau → Uznach,CH,CH,38.0,night
S2,Zug,Arth Goldau,night,Zug → Arth Goldau,CH,CH,14.1,night
IR46,Zurich Hb,Arth Goldau,night,Zurich Hb → Arth Goldau,CH,CH,36.6,night
S11,Attiswil,Solothurn,night,Attiswil → Solothurn,CH,CH,7.14,night
SN,Au Sg,Wil Sg,night,Au Sg → Wil Sg,CH,CH,45.23,night
SN,Winterthur,Au Sg,night,Winterthur → Au Sg,CH,CH,69.33,night
RE,Aulendorf,Dusslingen,night,Aulendorf → Dusslingen,CH,CH,70.47,night
RB,Aulendorf,Fridingen B Tuttlingen,night,Aulendorf → Fridingen B Tuttlingen,CH,CH,53.41,night
RE,Friedrichshafen Stadt,Aulendorf,night,Friedrichshafen Stadt → Aulendorf,CH,CH,35.68,night
RE,Aulendorf,Hechingen,night,Aulendorf → Hechingen,CH,CH,67.49,night
RE,Plochingen,Aulendorf,night,Plochingen → Aulendorf,CH,CH,86.25,night
RB,Sigmaringen,Aulendorf,night,Sigmaringen → Aulendorf,CH,CH,34.75,night
RE,Aulendorf,Singen Hohentwiel,night,Aulendorf → Singen Hohentwiel,CH,CH,63.67,night
RE,Stuttgart Hbf,Aulendorf,night,Stuttgart → Aulendorf,CH,CH,98.56,night
RE,Tubingen Hbf,Aulendorf,night,Tubingen → Aulendorf,CH,CH,76.25,night
RE,Aulendorf,Ulm Hbf,night,Aulendorf → Ulm,CH,CH,55.62,night
RE,Aulendorf,Waldshut,night,Aulendorf → Waldshut,CH,CH,112.63,night
B,Chatelet Les Halles,Aulnay Sous Bois,night,Chatelet les Halles → Aulnay Sous Bois,FR,FR,13.39,night
B,Massy Palaiseau,Aulnay Sous Bois,night,Massy Palaiseau → Aulnay Sous Bois,FR,FR,28.78,night
B,Aulnay Sous Bois,Robinson,night,Aulnay Sous Bois → Robinson,FR,FR,23.04,night
B,Aulnay Sous Bois,Saint Remy Les Chevreuse,night,Aulnay Sous Bois → Saint Remy les Chevreuse,FR,FR,40.19,night
TER,Aurillac,Brive La Gaillarde,night,Aurillac → Brive la Gaillarde,CH,CH,75.8,night
TER,Capdenac,Aurillac,night,Capdenac → Aurillac,CH,CH,47.42,night
TER,Aurillac,Clermont Ferrand,night,Aurillac → Clermont Ferrand,CH,CH,108.62,night
TER,Aurillac,Figeac,night,Aurillac → Figeac,CH,CH,47.29,night
TER,Aurillac,Neussargues,night,Aurillac → Neussargues,CH,CH,48.36,night
IC,Paris Austerlitz,Aurillac,night,Paris Austerlitz → Aurillac,CH,CH,435.92,night
TER,Aurillac,Toulouse Matabiau,night,Aurillac → Toulouse Matabiau,CH,CH,165.28,night
TER,Auxerre Saint Gervais,Avallon,night,Auxerre Saint Gervais → Avallon,CH,CH,41.56,night
TER,Dijon,Auxerre Saint Gervais,night,Dijon → Auxerre Saint Gervais,CH,CH,120.31,night
TER,Auxerre Saint Gervais,Laroche Migennes,night,Auxerre Saint Gervais → Laroche Migennes,CH,CH,19.04,night
TER,Auxerre Saint Gervais,Montereau,night,Auxerre Saint Gervais → Montereau,CH,CH,80.41,night
TER,Auxerre Saint Gervais,Paris Bercy,night,Auxerre Saint Gervais → Paris Bercy,CH,CH,146.0,night
TER,Paris Gare De Lyon,Auxerre Saint Gervais,night,Paris de Lyon → Auxerre Saint Gervais,CH,CH,146.9,night
TER,Avallon,Laroche Migennes,night,Avallon → Laroche Migennes,CH,CH,59.92,night
TER,Montereau,Avallon,night,Montereau → Avallon,CH,CH,121.96,night
TER,Paris Bercy,Avallon,night,Paris Bercy → Avallon,CH,CH,187.55,night
TER,Paris Gare De Lyon,Avallon,night,Paris de Lyon → Avallon,CH,CH,188.45,night
S5,Avenches,Kerzers,night,Avenches → Kerzers,CH,CH,15.3,night
C,Montigny Beauchamp,Avenue Henri Martin,night,Montigny Beauchamp → Avenue Henri Martin,FR,FR,16.76,night
C,Pontoise,Avenue Henri Martin,night,Pontoise → Avenue Henri Martin,FR,FR,23.92,night
TER,Avignon Centre,Chambery Challes Les Eaux,night,Avignon Centre → Chambery Challes les Eaux,CH,CH,201.47,night
TER,Avignon Centre,Le Teil,night,Avignon Centre → le Teil,CH,CH,68.67,night
TER,Avignon Centre,Lyon Part Dieu,night,Avignon Centre → Lyon Part Dieu,CH,CH,202.35,night
TER,Avignon Centre,Lyon Perrache,night,Avignon Centre → Lyon Perrache,CH,CH,200.96,night
TER,Avignon Centre,Macon,night,Avignon Centre → Macon,CH,CH,262.62,night
TGV,Paris Gare De Lyon,Avignon Centre,night,Paris de Lyon → Avignon Centre,CH,CH,576.21,night
TER,Valence,Avignon Centre,night,Valence → Avignon Centre,CH,CH,109.91,night
S2,Baar Lindenpark,Brunnen,night,Baar Lindenpark → Brunnen,CH,CH,21.63,night
S2,Erstfeld,Baar Lindenpark,night,Erstfeld → Baar Lindenpark,CH,CH,41.59,night
S2,Baar Lindenpark,Walchwil,night,Baar Lindenpark → Walchwil,CH,CH,9.39,night
S1,Baar,Ebikon,night,Baar → Ebikon,CH,CH,18.44,night
S1,Baar,Emmenbrucke,night,Baar → Emmenbrucke,CH,CH,22.89,night
S1,Luzern,Baar,night,Luzern → Baar,CH,CH,22.82,night
S1,Baar,Rotkreuz,night,Baar → Rotkreuz,CH,CH,9.2,night
S1,Sursee,Baar,night,Sursee → Baar,CH,CH,32.26,night
S1,Zug,Baar,night,Zug → Baar,CH,CH,2.49,night
EXT,Baar,Zug Postplatz,night,Baar → Zug Postplatz,CH,CH,3.05,night
S27,Bad Zurzach,Baden,night,Zurzach → Baden,CH,CH,12.47,night
S27,Koblenz,Bad Zurzach,night,Koblenz → Zurzach,CH,CH,5.31,night
S27,Turgi,Bad Zurzach,night,Turgi → Zurzach,CH,CH,11.19,night
S36,Bad Zurzach,Waldshut,night,Zurzach → Waldshut,CH,CH,6.78,night
S27,Wettingen,Bad Zurzach,night,Wettingen → Zurzach,CH,CH,14.39,night
IR36,Basel Sbb,Baden,night,Basel Sbb → Baden,CH,CH,54.51,night
S12,Baden,Brugg Ag,night,Baden → Brugg Ag,CH,CH,7.45,night
S23,Hendschiken,Baden,night,Hendschiken → Baden,CH,CH,12.27,night
S27,Baden,Koblenz,night,Baden → Koblenz,CH,CH,15.05,night
S6,Kusnacht Zh,Baden,night,Kusnacht Zh → Baden,CH,CH,26.98,night
S23,Baden,Langenthal,night,Baden → Langenthal,CH,CH,48.81,night
S23,Lenzburg,Baden,night,Lenzburg → Baden,CH,CH,14.02,night
S29,Baden,Olten,night,Baden → Olten,CH,CH,33.13,night
S23,Othmarsingen,Baden,night,Othmarsingen → Baden,CH,CH,10.38,night
S6,Regensdorf Watt,Baden,night,Regensdorf Watt → Baden,CH,CH,13.13,night
S27,Rekingen Ag,Baden,night,Rekingen Ag → Baden,CH,CH,10.5,night
S6,Baden,Uetikon,night,Baden → Uetikon,CH,CH,36.95,night
S27,Baden,Waldshut,night,Baden → Waldshut,CH,CH,17.42,night
S6,Baden,Zurich Hb,night,Baden → Zurich Hb,CH,CH,20.62,night
S6,Baden,Zurich Tiefenbrunnen,night,Baden → Zurich Tiefenbrunnen,CH,CH,23.7,night
S22,Balsthal,Oensingen,night,Balsthal → Oensingen,CH,CH,3.33,night
