route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km
S2,arth goldau,altdorf ur,day,Arth Goldau → Altdorf Ur,CH,CH,20.25
S2,arth goldau,baar lindenpark,day,Arth Goldau → Baar Lindenpark,CH,CH,15.11
IR46,arth goldau,bellinzona,day,Arth Goldau → Bellinzona,CH,CH,101.75
S2,arth goldau,erstfeld,day,Arth Goldau → Erstfeld,CH,CH,26.56
RE,arth goldau,lenzburg,day,Arth Goldau → Lenzburg,CH,CH,47.61
IR46,arth goldau,locarno,day,Arth Goldau → Locarno,CH,CH,99.36
PE,arth goldau,lugano,day,Arth Goldau → Lugano,CH,CH,119.96
S3,arth goldau,luzern,day,Arth Goldau → Luzern,CH,CH,18.13
IR,arth goldau,rapperswil sg,day,Arth Goldau → Rapperswil Sg,CH,CH,28.13
IR,arth goldau,uznach,day,Arth Goldau → Uznach,CH,CH,38.0
CC,arth goldau rb,rigi kulm,day,Arth Goldau Rb → Rigi Kulm,CH,CH,4.79
P29,arvant,aurillac,day,Arvant → Aurillac,FR,FR,84.56
P29,arvant,clermont ferrand,day,Arvant → Clermont Ferrand,FR,FR,48.8
P85,arvant,le puy en velay,day,Arvant → le Puy En Velay,FR,FR,58.01
S11,attiswil,solothurn,day,Attiswil → Solothurn,CH,CH,7.14
SN,au sg,wil sg,day,Au Sg → Wil Sg,CH,CH,45.23
E07,aubenas place de la paix,saint martin d heres,day,Aubenas Place de la Paix → Saint Martin D Heres,FR,FR,126.07
A04,aubenas place de la paix,valence tgv rhone alpes sud,day,Aubenas Place de la Paix → Valence Tgv Rhone Alpes Sud,FR,FR,62.37
INCONNU,auch,colomiers,day,Auch → Colomiers,FR,FR,59.56
P160,auch,montauban la fobio,day,Auch → Montauban la Fobio,FR,FR,74.23
C6,auch,toulouse matabiau,day,Auch → Toulouse Matabiau,FR,FR,69.09
P160,auch allee baylac,beaumont de lomagne place jean moulin,day,Auch Allee Baylac → Beaumont de Lomagne Place Jean Moulin,FR,FR,41.42
P160,auch allee baylac,montauban la fobio,day,Auch Allee Baylac → Montauban la Fobio,FR,FR,75.11
RE,aulendorf,dusslingen,day,Aulendorf → Dusslingen,CH,CH,70.47
RB,aulendorf,fridingen b tuttlingen,day,Aulendorf → Fridingen B Tuttlingen,CH,CH,53.41
RE,aulendorf,hechingen,day,Aulendorf → Hechingen,CH,CH,67.49
RE,aulendorf,singen hohentwiel,day,Aulendorf → Singen Hohentwiel,CH,CH,63.67
RE,aulendorf,ulm hbf,day,Aulendorf → Ulm,CH,CH,55.62
RE,aulendorf,waldshut,day,Aulendorf → Waldshut,CH,CH,112.63
P61,aulnoye aymeries,hirson,day,Aulnoye Aymeries → Hirson,FR,FR,35.85
K61,aulnoye aymeries,lille flandres,day,Aulnoye Aymeries → Lille Flandres,FR,FR,73.4
P62,aulnoye aymeries,saint quentin,day,Aulnoye Aymeries → Saint Quentin,FR,FR,55.71
P62,aulnoye aymeries,tergnier,day,Aulnoye Aymeries → Tergnier,FR,FR,71.49
P60,aulnoye aymeries,valenciennes,day,Aulnoye Aymeries → Valenciennes,FR,FR,29.61
S1,auray,quiberon,day,Auray → Quiberon,FR,FR,23.43
P57,aurillac,brive la gaillarde,day,Aurillac → Brive la Gaillarde,FR,FR,75.77
TER,aurillac,brive la gaillarde,day,Aurillac → Brive la Gaillarde,CH,CH,75.8
P29,aurillac,clermont ferrand,day,Aurillac → Clermont Ferrand,FR,FR,108.63
TER,aurillac,clermont ferrand,day,Aurillac → Clermont Ferrand,CH,CH,108.62
P29,aurillac,figeac,day,Aurillac → Figeac,FR,FR,47.28
TER,aurillac,figeac,day,Aurillac → Figeac,CH,CH,47.29
P29,aurillac,murat,day,Aurillac → Murat,FR,FR,40.02
P29,aurillac,neussargues,day,Aurillac → Neussargues,FR,FR,48.39
TER,aurillac,neussargues,day,Aurillac → Neussargues,CH,CH,48.36
P27,aurillac,toulouse matabiau,day,Aurillac → Toulouse Matabiau,FR,FR,165.31
TER,aurillac,toulouse matabiau,day,Aurillac → Toulouse Matabiau,CH,CH,165.28
C4,auterive,ax les thermes,day,Auterive → Ax les Thermes,FR,FR,75.46
P4,auterive,latour de carol enveitg,day,Auterive → Latour de Carol Enveitg,FR,FR,105.13
C4,auterive,toulouse matabiau,day,Auterive → Toulouse Matabiau,FR,FR,29.18
P36,autun,etang sur arroux,day,Autun → Etang Sur Arroux,FR,FR,12.75
TER,auxerre saint gervais,avallon,day,Auxerre Saint Gervais → Avallon,CH,CH,41.56
TER,auxerre saint gervais,laroche migennes,day,Auxerre Saint Gervais → Laroche Migennes,CH,CH,19.04
P35,auxerre saint gervais,montereau,day,Auxerre Saint Gervais → Montereau,FR,FR,80.42
TER,auxerre saint gervais,montereau,day,Auxerre Saint Gervais → Montereau,CH,CH,80.41
TER,auxerre saint gervais,paris bercy,day,Auxerre Saint Gervais → Paris Bercy,CH,CH,146.0
P31,auxerre saint gervais,paris bercy bourg pays d auv,day,Auxerre Saint Gervais → Paris Bercy Bourg Pays D Auv,FR,FR,146.0
C1,auxonne,villers les pots,day,Auxonne → Villers les Pots,FR,FR,2.72
P75,avallon,auxerre saint gervais,day,Avallon → Auxerre Saint Gervais,FR,FR,41.57
P25,avallon,laroche migennes,day,Avallon → Laroche Migennes,FR,FR,59.73
TER,avallon,laroche migennes,day,Avallon → Laroche Migennes,CH,CH,59.92
P25,avallon,paris gare de lyon hall 1 2,day,Avallon → Paris de Lyon Hall 1 2,FR,FR,188.49
S5,avenches,kerzers,day,Avenches → Kerzers,CH,CH,15.3
C1,avignon centre,carpentras,day,Avignon Centre → Carpentras,FR,FR,22.5
C7,avignon centre,cavaillon,day,Avignon Centre → Cavaillon,FR,FR,22.52
K21,avignon centre,chambery challes les eaux,day,Avignon Centre → Chambery Challes les Eaux,FR,FR,201.41
TER,avignon centre,chambery challes les eaux,day,Avignon Centre → Chambery Challes les Eaux,CH,CH,201.47
TER,avignon centre,le teil,day,Avignon Centre → le Teil,CH,CH,68.67
TER,avignon centre,lyon part dieu,day,Avignon Centre → Lyon Part Dieu,CH,CH,202.35
TER,avignon centre,lyon perrache,day,Avignon Centre → Lyon Perrache,CH,CH,200.96
K24,avignon centre,macon,day,Avignon Centre → Macon,FR,FR,262.5
TER,avignon centre,macon,day,Avignon Centre → Macon,CH,CH,262.62
C7,avignon centre,miramas,day,Avignon Centre → Miramas,FR,FR,43.09
C8,avignon centre,montpellier saint roch,day,Avignon Centre → Montpellier Saint Roch,FR,FR,83.17
P18,avignon centre,pont saint esprit,day,Avignon Centre → Pont Saint Esprit,FR,FR,36.95
K8,avignon centre,portbou,day,Avignon Centre → Portbou,FR,FR,215.16
C8,avignon centre,sete,day,Avignon Centre → Sete,FR,FR,106.83
P14,avignon centre,valence ville,day,Avignon Centre → Valence Ville,FR,FR,109.88
C1,avignon tgv,avignon centre,day,Avignon Tgv → Avignon Centre,FR,FR,2.7
C1,avignon tgv,carpentras,day,Avignon Tgv → Carpentras,FR,FR,25.0
C7,avignon tgv,cavaillon,day,Avignon Tgv → Cavaillon,FR,FR,22.81
P4,ax les thermes,latour de carol enveitg,day,Ax les Thermes → Latour de Carol Enveitg,FR,FR,30.13
C4,ax les thermes,toulouse matabiau,day,Ax les Thermes → Toulouse Matabiau,FR,FR,103.26
S1,baar,ebikon,day,Baar → Ebikon,CH,CH,18.44
S1,baar,emmenbrucke,day,Baar → Emmenbrucke,CH,CH,22.89
S1,baar,rotkreuz,day,Baar → Rotkreuz,CH,CH,9.2
EXT,baar,zug postplatz,day,Baar → Zug Postplatz,CH,CH,3.05
S2,baar lindenpark,brunnen,day,Baar Lindenpark → Brunnen,CH,CH,21.63
S2,baar lindenpark,walchwil,day,Baar Lindenpark → Walchwil,CH,CH,9.39
S27,bad zurzach,baden,day,Zurzach → Baden,CH,CH,12.47
S36,bad zurzach,waldshut,day,Zurzach → Waldshut,CH,CH,6.78
S23,baden,aarau,day,Baden → Aarau,CH,CH,21.48
S12,baden,brugg ag,day,Baden → Brugg Ag,CH,CH,7.45
S27,baden,koblenz,day,Baden → Koblenz,CH,CH,15.05
S23,baden,langenthal,day,Baden → Langenthal,CH,CH,48.81
S29,baden,olten,day,Baden → Olten,CH,CH,33.13
S6,baden,uetikon,day,Baden → Uetikon,CH,CH,36.95
S27,baden,waldshut,day,Baden → Waldshut,CH,CH,17.42
S6,baden,zurich hb,day,Baden → Zurich Hb,CH,CH,20.62
S6,baden,zurich tiefenbrunnen,day,Baden → Zurich Tiefenbrunnen,CH,CH,23.7
S22,balsthal,oensingen,day,Balsthal → Oensingen,CH,CH,3.33
S11,bannwil,langenthal,day,Bannwil → Langenthal,CH,CH,4.5
P55,bar le duc,chalons en champagne,day,Bar le Duc → Chalons En Champagne,FR,FR,63.18
C46+,bar le duc,luneville,day,Bar le Duc → Luneville,FR,FR,99.8
K2,bar le duc,nancy,day,Bar le Duc → Nancy,FR,FR,74.48
TER,bar le duc,nancy,day,Bar le Duc → Nancy,CH,CH,74.43
801B,bar le duc,paris est,day,Bar le Duc → Paris Est,FR,FR,205.92
P940,bar sur aube,juvancourt,day,Bar Sur Aube → Juvancourt,FR,FR,15.44
P940,bar sur aube,troyes,day,Bar Sur Aube → Troyes,FR,FR,47.92
P940,bar sur aube college,laferte sur aube,day,Bar Sur Aube College → Laferte Sur Aube,FR,FR,15.47
INCONNU,barcelone sants,paris gare de lyon hall 1 2,day,Barcelone Sants → Paris de Lyon Hall 1 2,FR,FR,830.38
INCONNU,barcelone sants,paris montparnasse hall 1 2,day,Barcelone Sants → Paris Montparnasse Hall 1 2,FR,FR,829.88
EXT,baretswil,bauma,day,Baretswil → Bauma,CH,CH,4.02
C23+,barr,molsheim,day,Barr → Molsheim,FR,FR,15.21
TER,bas monistrol,saint etienne chateaucreux,day,Bas Monistrol → Saint Etienne Chateaucreux,CH,CH,25.98
RB,basel bad bf,albbruck,day,Basel → Albbruck,CH,CH,39.47
ICE,basel bad bf,bern,day,Basel → Bern,CH,CH,69.93
ICE,basel bad bf,brig,day,Basel → Brig,CH,CH,141.74
RB,basel bad bf,emmendingen,day,Basel → Emmendingen,CH,CH,63.97
RE,basel bad bf,ettlingen west,day,Basel → Ettlingen West,CH,CH,164.04
RE,basel bad bf,friedrichshafen hafen,day,Basel → Friedrichshafen Hafen,CH,CH,140.93
RE,basel bad bf,friedrichshafen stadt,day,Basel → Friedrichshafen Stadt,CH,CH,140.28
RE,basel bad bf,herbolzheim breisgau,day,Basel → Herbolzheim Breisgau,CH,CH,73.98
ICE,basel bad bf,interlaken ost,day,Basel → Interlaken Ost,CH,CH,99.49
RE,basel bad bf,karlsruhe hbf,day,Basel → Karlsruhe,CH,CH,169.15
EC,basel bad bf,leipzig hbf,day,Basel → Leipzig,CH,CH,543.47
S6,basel bad bf,lorrach hbf,day,Basel → Lorrach,CH,CH,6.8
RB,basel bad bf,mullheim im markgraflerland,day,Basel → Mullheim Im Markgraflerland,CH,CH,26.96
