route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country
RE,olten,arth goldau,night,Olten → Arth Goldau,CH,CH
RE,arth goldau,aarau,night,Arth Goldau → Aarau,CH,CH
RE,arth goldau,lenzburg,night,Arth Goldau → Lenzburg,CH,CH
RE,delemont,biel bienne,night,Delemont → Biel Bienne,CH,CH
RE,zurich hb,einsiedeln,night,Zurich Hb → Einsiedeln,CH,CH
RE,rapperswil sg,chur,night,Rapperswil Sg → Chur,CH,CH
RE,biel bienne,courgenay,night,Biel Bienne → Courgenay,CH,CH
RE,zurich hb,pfaffikon sz,night,Zurich Hb → Pfaffikon Sz,CH,CH
RE,luzern,wauwil,night,Luzern → Wauwil,CH,CH
RE,olten,emmenbrucke,night,Olten → Emmenbrucke,CH,CH
RE,luzern,zofingen,night,Luzern → Zofingen,CH,CH
RE,luzern,reiden,night,Luzern → Reiden,CH,CH
RE,olten,emmenbrucke gersag,night,Olten → Emmenbrucke Gersag,CH,CH
RE,luzern,sursee,night,Luzern → Sursee,CH,CH
RE,emmenbrucke,aarburg oftringen,night,Emmenbrucke → Aarburg Oftringen,CH,CH
RE,olten,rothenburg station,night,Olten → Rothenburg Station,CH,CH
RE,wettingen,olten,night,Wettingen → Olten,CH,CH
RE,olten,baden,night,Olten → Baden,CH,CH
RE,olten,dietikon,night,Olten → Dietikon,CH,CH
RE,olten,neuenhof,night,Olten → Neuenhof,CH,CH
RE,olten,glanzenberg,night,Olten → Glanzenberg,CH,CH
RE,aarau,zurich hardbrucke,night,Aarau → Zurich Hardbrucke,CH,CH
RE,lenzburg,zurich hb,night,Lenzburg → Zurich Hb,CH,CH
RE,lugano,locarno,night,Lugano → Locarno,CH,CH
RE,arth goldau,zug,night,Arth Goldau → Zug,CH,CH
EC,frankfurt main hbf,zurich hb,night,Frankfurt Main → Zurich Hb,CH,CH
ICE,freiburg breisgau hbf,basel sbb,night,Freiburg Breisgau → Basel Sbb,CH,CH
R,porrentruy,delle,night,Porrentruy → Delle,CH,CH
R,delle,bassecourt,night,Delle → Bassecourt,CH,CH
R,porrentruy,delemont,night,Porrentruy → Delemont,CH,CH
R,delemont,courtemaiche,night,Delemont → Courtemaiche,CH,CH
R,bonfol,porrentruy,night,Bonfol → Porrentruy,CH,CH
R,delemont,vendlincourt,night,Delemont → Vendlincourt,CH,CH
R,bonfol,courtetelle,night,Bonfol → Courtetelle,CH,CH
R,neuchatel,yverdon les bains,night,Neuchatel → Yverdon les Bains,CH,CH
R,biel bienne,neuchatel serrieres,night,Biel Bienne → Neuchatel Serrieres,CH,CH
R,yverdon les bains,st blaise cff,night,Yverdon les Bains → St Blaise Cff,CH,CH
R,biel bienne,auvernier,night,Biel Bienne → Auvernier,CH,CH
R,biel bienne,neuchatel,night,Biel Bienne → Neuchatel,CH,CH
R,le locle,la chaux de fonds,night,le Locle → la Chaux de Fonds,CH,CH
R,neuchatel,corcelles peseux,night,Neuchatel → Corcelles Peseux,CH,CH
R,st imier,frinvillier taubenloch,night,St Imier → Frinvillier Taubenloch,CH,CH
R,biel bienne,malleray bevilard,night,Biel Bienne → Malleray Bevilard,CH,CH
R,malleray bevilard,sonceboz sombeval,night,Malleray Bevilard → Sonceboz Sombeval,CH,CH
